Taskgroup,task#,Parent,Title,Description,Istype,Attachment,Created Date,Start Date,Due Date,Estimated,Status,Type,Assigned To,Task Date,spent,Is Billable
5,33,0,"Redesign the website for Responsiveness (Mobile Devises, Tablets, etc) (Sample)",,1,,17-04-2019,19-06-2019,21-06-2019,24,1,2,2,21-06-2019,0,
6,34,0,Content Creation (Sample),,1,,17-04-2019,24-06-2019,24-06-2019,8,1,2,2,24-06-2019,0,
6,35,0,Graphics Creation (Sample),,1,,17-04-2019,25-06-2019,26-06-2019,12,1,2,2,26-06-2019,0,
6,36,0,Marketing (Sample),,1,,17-04-2019,27-06-2019,01-07-2019,24,1,2,2,01-07-2019,0,
6,37,36,Marketing Calendar (Sample),,1,,17-04-2019,02-07-2019,02-07-2019,4,1,2,2,02-07-2019,0,
6,38,36,Marketing Images Designed for Social Promotions of the New Website Launch (Sample),,1,,17-04-2019,03-07-2019,04-07-2019,12,1,2,2,04-07-2019,0,
6,39,36,Social Marketing Promotions (Sample),,1,,17-04-2019,05-07-2019,05-07-2019,8,1,2,2,05-07-2019,0,
6,40,0,Promotion (Sample),,1,,17-04-2019,08-07-2019,08-07-2019,6,1,2,2,08-07-2019,0,
6,41,0,Reporting (Sample),,1,,17-04-2019,09-07-2019,10-07-2019,12,1,2,2,10-07-2019,0,
7,42,0,Change DNS Links (Sample),,1,,17-04-2019,11-07-2019,11-07-2019,1,1,2,2,11-07-2019,0,
7,43,0,Client Training (Sample),,1,,17-04-2019,11-07-2019,12-07-2019,8,1,2,2,12-07-2019,0,
7,45,0,Move Files into Live Server Environment (Sample),,1,,17-04-2019,15-07-2019,15-07-2019,4,1,9,3,15-07-2019,0,
7,46,0,Prep Server for Go Live (Sample),,1,,17-04-2019,16-07-2019,16-07-2019,4,1,2,3,16-07-2019,0,
8,47,0,Enhancing Security for Forms as Requested (Sample),,1,,17-04-2019,17-07-2019,17-07-2019,6,1,2,3,17-07-2019,0,
8,48,0,Final Site Cross Browser Audit (Sample),,1,,17-04-2019,18-07-2019,18-07-2019,8,1,2,3,18-07-2019,0,
8,49,0,Forms Testing (Sample),,1,,17-04-2019,19-07-2019,19-07-2019,2,1,5,3,19-07-2019,0,
8,50,0,Full Site Errors Report and Corrections (Sample),,1,,17-04-2019,22-07-2019,23-07-2019,12,1,2,3,23-07-2019,0,
8,51,0,Mobile Responsive Audit (Sample),,1,,17-04-2019,24-07-2019,24-07-2019,4,1,2,3,24-07-2019,0,
8,52,0,"Promote Site Launch on (Social Media, Blogs, Email Newsletters, etc) (Sample)",,1,,17-04-2019,25-07-2019,25-07-2019,8,1,2,3,25-07-2019,0,
8,53,0,"Provide Hosting, Support, Upgrades as Needed, Maintenance (Sample)",,1,,17-04-2019,26-07-2019,29-07-2019,16,1,2,3,29-07-2019,0,
8,54,0,Submission of Site to Search Engines (Sample),,1,,17-04-2019,30-07-2019,30-07-2019,8,1,2,3,30-07-2019,0,
8,55,0,Webmaster Reviews (Sample),,1,,17-04-2019,31-07-2019,31-07-2019,2,1,2,3,31-07-2019,0,
9,56,0,Image Optimization (Sample),,1,,17-04-2019,31-07-2019,31-07-2019,3,1,2,3,31-07-2019,0,
9,57,0,On Page SEO (Sample),,1,,17-04-2019,01-08-2019,01-08-2019,8,1,2,3,01-08-2019,0,
9,58,0,URL Optimization (Sample),,1,,17-04-2019,02-08-2019,02-08-2019,4,1,2,3,02-08-2019,0,
2,6,0,Blog Roll and Blog Post Design V1 (Sample),"Important Note - Make the design very simple and high readable
Use maximum 3 colours
Use vector icons, if required",2,,23-04-2019,,,0,1,2,3,,,
0,2,0,Stakeholders Meeting Internally,"Agenda-
Finalyze the scope
Milestone defined
Delivery date finalize",2,,24-04-2019,,,0,1,2,3,,,
2,6,0,Blog Roll and Blog Post Design V1,"Ok, sure",2,,23-04-2019,,,0,1,2,3,,,
